analysis	group	n	value	note
EDIT_DISTANCE_1	SUB_f_TO_y_RIGHT_7	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_f_TO_z_RIGHT_2	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_g_TO_a_RIGHT_0	8	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_g_TO_a_RIGHT_1	2	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_g_TO_a_RIGHT_3	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_g_TO_b_RIGHT_0	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_g_TO_c_RIGHT_0	4	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_g_TO_d_RIGHT_0	29	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_g_TO_d_RIGHT_1	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_g_TO_d_RIGHT_2	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_g_TO_e_RIGHT_0	8	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_g_TO_e_RIGHT_2	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_g_TO_f_RIGHT_0	5	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_g_TO_h_RIGHT_0	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_g_TO_i_RIGHT_0	8	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_g_TO_i_RIGHT_3	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_g_TO_j_RIGHT_0	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_g_TO_k_RIGHT_0	5	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_g_TO_k_RIGHT_2	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_g_TO_k_RIGHT_3	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_g_TO_l_RIGHT_0	33	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_g_TO_l_RIGHT_1	3	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_g_TO_l_RIGHT_2	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_g_TO_m_RIGHT_0	26	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_g_TO_m_RIGHT_1	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_g_TO_n_RIGHT_0	17	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_g_TO_o_RIGHT_0	26	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_g_TO_o_RIGHT_1	2	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_g_TO_o_RIGHT_3	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_g_TO_p_RIGHT_0	6	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_g_TO_p_RIGHT_2	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_g_TO_q_RIGHT_0	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_g_TO_r_RIGHT_0	34	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_g_TO_r_RIGHT_1	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_g_TO_r_RIGHT_2	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_g_TO_s_RIGHT_0	34	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_g_TO_s_RIGHT_3	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_g_TO_t_RIGHT_0	8	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_g_TO_t_RIGHT_1	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_g_TO_u_RIGHT_0	2	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_g_TO_v_RIGHT_0	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_g_TO_x_RIGHT_0	2	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_g_TO_y_RIGHT_0	61	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_a_RIGHT_0	2	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_a_RIGHT_1	9	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_a_RIGHT_2	3	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_a_RIGHT_3	5	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_a_RIGHT_5	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_c_RIGHT_0	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_c_RIGHT_1	2	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_c_RIGHT_2	6	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_c_RIGHT_3	3	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_c_RIGHT_4	2	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_d_RIGHT_0	3	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_d_RIGHT_1	26	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_d_RIGHT_2	8	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_d_RIGHT_3	3	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_d_RIGHT_4	2	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_e_RIGHT_0	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_e_RIGHT_1	35	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_e_RIGHT_2	23	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_e_RIGHT_3	9	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_e_RIGHT_4	2	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_f_RIGHT_0	2	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_f_RIGHT_1	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_f_RIGHT_2	3	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_f_RIGHT_3	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_g_RIGHT_0	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_i_RIGHT_0	3	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_i_RIGHT_1	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_k_RIGHT_0	2	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_k_RIGHT_1	14	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_k_RIGHT_2	16	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_k_RIGHT_3	7	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_k_RIGHT_4	7	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_k_RIGHT_5	2	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_l_RIGHT_0	3	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_l_RIGHT_1	5	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_l_RIGHT_2	5	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_l_RIGHT_3	2	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_l_RIGHT_4	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_m_RIGHT_0	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_m_RIGHT_2	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_n_RIGHT_0	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_o_RIGHT_0	6	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_o_RIGHT_1	16	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_o_RIGHT_2	13	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_o_RIGHT_3	17	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_o_RIGHT_4	9	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_o_RIGHT_5	5	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_o_RIGHT_6	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_p_RIGHT_0	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_p_RIGHT_1	2	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_p_RIGHT_2	7	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_p_RIGHT_3	5	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_p_RIGHT_4	2	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_q_RIGHT_0	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_q_RIGHT_1	4	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_q_RIGHT_2	4	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_q_RIGHT_3	2	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_q_RIGHT_4	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_q_RIGHT_7	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_r_RIGHT_0	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_r_RIGHT_1	4	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_r_RIGHT_2	5	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_r_RIGHT_3	2	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_r_RIGHT_4	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_s_RIGHT_0	3	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_s_RIGHT_1	8	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_s_RIGHT_2	5	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_s_RIGHT_3	5	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_s_RIGHT_4	3	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_s_RIGHT_7	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_t_RIGHT_0	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_t_RIGHT_1	7	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_t_RIGHT_2	12	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_t_RIGHT_3	6	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_t_RIGHT_4	4	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_t_RIGHT_6	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_u_RIGHT_0	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_v_RIGHT_0	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_v_RIGHT_1	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_x_RIGHT_0	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_x_RIGHT_2	2	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_y_RIGHT_0	13	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_y_RIGHT_1	3	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_y_RIGHT_2	7	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_y_RIGHT_3	2	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_y_RIGHT_4	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_y_RIGHT_5	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_z_RIGHT_1	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_h_TO_z_RIGHT_2	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_a_RIGHT_0	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_a_RIGHT_1	6	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_a_RIGHT_2	22	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_a_RIGHT_3	12	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_c_RIGHT_0	2	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_c_RIGHT_2	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_c_RIGHT_3	14	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_c_RIGHT_4	4	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_c_RIGHT_5	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_c_RIGHT_6	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_d_RIGHT_0	4	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_d_RIGHT_1	7	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_d_RIGHT_2	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_d_RIGHT_3	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_e_RIGHT_0	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_e_RIGHT_1	3	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_e_RIGHT_2	2	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_e_RIGHT_3	5	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_e_RIGHT_4	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_f_RIGHT_0	2	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_f_RIGHT_2	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_g_RIGHT_0	8	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_g_RIGHT_3	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_h_RIGHT_0	3	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_h_RIGHT_1	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_j_RIGHT_1	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_k_RIGHT_0	2	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_k_RIGHT_1	4	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_k_RIGHT_2	3	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_k_RIGHT_3	4	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_l_RIGHT_0	16	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_l_RIGHT_1	17	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_l_RIGHT_2	7	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_l_RIGHT_3	3	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_l_RIGHT_4	2	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_l_RIGHT_5	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_m_RIGHT_0	17	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_m_RIGHT_1	3	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_m_RIGHT_2	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_n_RIGHT_0	17	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_n_RIGHT_1	3	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_n_RIGHT_2	3	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_o_RIGHT_0	6	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_o_RIGHT_1	9	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_o_RIGHT_2	5	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_o_RIGHT_3	5	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_o_RIGHT_5	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_p_RIGHT_0	2	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_p_RIGHT_1	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_p_RIGHT_2	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_q_RIGHT_0	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_q_RIGHT_2	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_q_RIGHT_4	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_q_RIGHT_6	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_r_RIGHT_0	20	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_r_RIGHT_1	9	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_r_RIGHT_2	7	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_r_RIGHT_3	10	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_r_RIGHT_4	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_s_RIGHT_0	11	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_s_RIGHT_1	2	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_s_RIGHT_2	2	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_s_RIGHT_3	3	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_t_RIGHT_0	3	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_t_RIGHT_1	2	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_t_RIGHT_2	2	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_t_RIGHT_3	2	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_u_RIGHT_0	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_v_RIGHT_0	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_x_RIGHT_0	2	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_y_RIGHT_0	9	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_y_RIGHT_1	2	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_y_RIGHT_4	2	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_i_TO_z_RIGHT_1	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_j_TO_d_RIGHT_0	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_j_TO_d_RIGHT_1	3	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_j_TO_d_RIGHT_2	2	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_j_TO_e_RIGHT_1	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_j_TO_g_RIGHT_0	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_j_TO_i_RIGHT_1	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_j_TO_k_RIGHT_1	2	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_j_TO_k_RIGHT_2	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_j_TO_l_RIGHT_0	2	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_j_TO_l_RIGHT_1	3	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_j_TO_l_RIGHT_2	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_j_TO_m_RIGHT_0	2	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_j_TO_m_RIGHT_1	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_j_TO_m_RIGHT_2	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_j_TO_n_RIGHT_1	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_j_TO_r_RIGHT_0	2	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_j_TO_r_RIGHT_1	2	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_j_TO_r_RIGHT_2	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_j_TO_s_RIGHT_0	2	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_j_TO_s_RIGHT_1	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_j_TO_t_RIGHT_1	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_j_TO_t_RIGHT_2	2	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_k_TO_a_RIGHT_0	6	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_k_TO_a_RIGHT_1	9	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_k_TO_a_RIGHT_2	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_k_TO_a_RIGHT_3	6	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_k_TO_a_RIGHT_6	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_k_TO_c_RIGHT_0	5	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_k_TO_c_RIGHT_1	3	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_k_TO_c_RIGHT_2	3	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_k_TO_c_RIGHT_3	5	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_k_TO_c_RIGHT_4	3	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_k_TO_d_RIGHT_0	13	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_k_TO_d_RIGHT_1	94	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_k_TO_d_RIGHT_2	96	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_k_TO_d_RIGHT_3	75	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_k_TO_d_RIGHT_4	87	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_k_TO_d_RIGHT_5	36	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_k_TO_d_RIGHT_6	16	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_k_TO_d_RIGHT_7	8	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_k_TO_d_RIGHT_9	1	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_k_TO_e_RIGHT_0	4	1	exact positional arithmetic consistency; representation-induced
EDIT_DISTANCE_1	SUB_k_TO_e_RIGHT_1	29	1	exact positional arithmetic consistency; representation-induced
