operation	from_symbol	to_symbol	position_zero_based	support_edges	examples	interpretation_limit
DELETION	k		6	7	chaloly→chalolky|chorolk→chorol|opcheey→opcheeky|qokeeoy→qokeeoky|ycheeckhy→ycheechy	observed edit-distance-1 relation; not a morphological claim
DELETION	n		2	7	ain→ai|aiy→ainy|dan→da|een→ee|kan→ka	observed edit-distance-1 relation; not a morphological claim
DELETION	x		0	7	xar→ar|xdar→dar|xockhhy→ockhhy|xoiin→oiin|xol→ol	observed edit-distance-1 relation; not a morphological claim
INSERTION		d	8	7	cheocthedy→cheocthey|cheolkeedy→cheolkeey|lcheckhedy→lcheckhey|qokalchedy→qokalchey|qokolchedy→qokolchey	observed edit-distance-1 relation; not a morphological claim
INSERTION		k	6	7	chalolky→chaloly|chorol→chorolk|opcheeky→opcheey|qokeeoky→qokeeoy|ycheechy→ycheeckhy	observed edit-distance-1 relation; not a morphological claim
INSERTION		n	2	7	ai→ain|ainy→aiy|da→dan|ee→een|ka→kan	observed edit-distance-1 relation; not a morphological claim
INSERTION		x	0	7	ar→xar|dar→xdar|ockhhy→xockhhy|oiin→xoiin|ol→xol	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	0	2	2	7	130→132|150→152|170→172|180→182|190→192	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	0	3	2	7	130→133|150→153|180→183|190→193|200→203	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	0	5	2	7	130→135|140→145|150→155|170→175|180→185	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	1	2	0	7	131→231|132→232|133→233|134→234|140→240	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	1	5	2	7	131→135|151→155|161→165|171→175|181→185	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	2	5	2	7	132→135|152→155|162→165|172→175|182→185	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	4	5	2	7	134→135|154→155|164→165|174→175|184→185	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	5	6	1	7	151→161|152→162|153→163|154→164|155→165	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	5	7	1	7	150→170|151→171|152→172|154→174|155→175	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	5	9	2	7	135→139|145→149|155→159|165→169|175→179	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	6	7	2	7	136→137|146→147|166→167|176→177|186→187	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	6	9	2	7	136→139|146→149|156→159|166→169|176→179	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	a	l	2	7	ara→arl|cha→chl|chas→chls|foar→folr|oda→odl	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	a	r	0	7	a→r|akal→rkal|akar→rkar|aky→rky|al→rl	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	c	h	0	7	c→h|chdar→hhdar|chey→hhey|chory→hhory|chy→hhy	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	c	o	1	7	dc→do|dcky→doky|hc→ho|lchor→lohor|qckhy→qokhy	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	c	y	2	7	chcky→chyky|chct→chyt|chcty→chyty|olc→oly|qocky→qoyky	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	d	n	3	7	aiidal→aiinal|aiidy→aiiny|chad→chan|chod→chon|daid→dain	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	e	f	2	7	cheaiin→chfaiin|chealy→chfaly|cheol→chfol|cheoraiin→chforaiin|qoeair→qofair	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	e	h	4	7	chekey→chekhy|chesey→cheshy|ockhey→ockhhy|okchey→okchhy|qcthey→qcthhy	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	e	r	2	7	che→chr|chey→chry|eeey→eery|koey→kory|oke→okr	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	f	l	3	7	chefal→chelal|chof→chol|chofaly→cholaly|chofo→cholo|chofol→cholol	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	f	o	3	7	chef→cheo|chefaiin→cheoaiin|chefal→cheoal|chefar→cheoar|chefy→cheoy	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	f	s	3	7	chef→ches|chefy→chesy|chof→chos|chofchy→choschy|chofy→chosy	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	g	m	4	7	cheog→cheom|chkag→chkam|cthog→cthom|daiig→daiim|dchog→dchom	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	g	o	3	7	cheg→cheo|dalg→dalo|dchg→dcho|kchg→kcho|lchg→lcho	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	g	r	2	7	aig→air|dag→dar|dago→daro|kag→kar|lag→lar	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	i	k	1	7	aiy→aky|oi→ok|oia→oka|oiees→okees|oiiin→okiin	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	i	l	4	7	daiiidy→daiildy|darai→daral|okaii→okail|olkai→olkal|qokaiy→qokaly	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	i	n	3	7	daii→dain|daiil→dainl|daiiol→dainol|daiiy→dainy|okai→okan	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	k	y	1	7	dkaiin→dyaiin|dkair→dyair|ok→oy|okchey→oychey|okr→oyr	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	m	y	2	7	aim→aiy|dam→day|lom→loy|sam→say|som→soy	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	n	r	7	7	chedaiin→chedaiir|chotaiin→chotaiir|oteodain→oteodair|oteolain→oteolair|pchedain→pchedair	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	n	s	2	7	ain→ais|dan→das|een→ees|kan→kas|oin→ois	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	o	r	2	7	cho→chr|choy→chry|koo→kor|oko→okr|olo→olr	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	o	r	4	7	ctheo→cther|daiio→daiir|okaio→okair|okcho→okchr|olkao→olkar	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	o	s	6	7	chokeeo→chokees|chotcho→chotchs|olcheeo→olchees|opcheeo→opchees|otcheeo→otchees	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	p	s	2	7	chp→chs|chpaly→chsaly|chpdy→chsdy|chpy→chsy|qop→qos	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	q	x	0	7	q→x|qar→xar|qockhhy→xockhhy|qoiin→xoiin|qol→xol	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	r	y	1	7	ar→ay|dr→dy|lr→ly|or→oy|orchey→oychey	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	s	y	1	7	as→ay|ds→dy|es→ey|ls→ly|os→oy	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	t	y	1	7	et→ey|lt→ly|ot→oy|otchey→oychey|otdar→oydar	observed edit-distance-1 relation; not a morphological claim
DELETION	g		1	6	ag→a|dg→d|dr→dgr|lg→l|og→o	observed edit-distance-1 relation; not a morphological claim
DELETION	g		6	6	chodalg→chodal|chokolg→chokol|ctholdg→cthold|dairodg→dairod|otalalg→otalal	observed edit-distance-1 relation; not a morphological claim
INSERTION		g	1	6	a→ag|d→dg|dgr→dr|l→lg|o→og	observed edit-distance-1 relation; not a morphological claim
INSERTION		g	6	6	chodal→chodalg|chokol→chokolg|cthold→ctholdg|dairod→dairodg|otalal→otalalg	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	0	7	2	6	130→137|140→147|170→177|180→187|190→197	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	0	9	2	6	130→139|140→149|150→159|170→179|180→189	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	1	4	1	6	210→240|211→241|212→242|213→243|214→244	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	1	7	2	6	131→137|161→167|171→177|181→187|191→197	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	1	9	2	6	131→139|151→159|161→169|171→179|181→189	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	2	9	2	6	132→139|152→159|162→169|172→179|182→189	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	3	5	2	6	133→135|153→155|163→165|183→185|193→195	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	4	7	1	6	140→170|145→175|146→176|147→177|148→178	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	4	7	2	6	134→137|164→167|174→177|184→187|194→197	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	4	8	1	6	140→180|145→185|146→186|147→187|148→188	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	4	9	2	6	134→139|154→159|164→169|174→179|184→189	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	5	7	2	6	135→137|145→147|165→167|175→177|185→187	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	6	8	2	6	136→138|146→148|166→168|176→178|186→188	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	7	8	2	6	137→138|147→148|167→168|177→178|187→188	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	7	9	2	6	137→139|147→149|167→169|177→179|187→189	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	a	d	2	6	alal→aldl|cha→chd|chady→chddy|doal→dodl|sha→shd	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	a	i	0	6	a→i|aiin→iiin|aim→iim|ain→iin|air→iir	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	a	k	1	6	daar→dkar|day→dky|lal→lkl|oaiin→okiin|oar→okr	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	a	k	2	6	cha→chk|olaiir→olkiir|olal→olkl|qoaiir→qokiir|qoal→qokl	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	a	p	0	6	a→p|acheody→pcheody|adair→pdair|adal→pdal|adar→pdar	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	a	r	2	6	cha→chr|doal→dorl|oda→odr|oia→oir|oka→okr	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	a	s	2	6	cha→chs|chad→chsd|chady→chsdy|oda→ods|oia→ois	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	a	s	4	6	cheda→cheds|okeea→okees|qotea→qotes|sheda→sheds|sheea→shees	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	a	t	0	6	a→t|acheody→tcheody|adam→tdam|aiiin→tiiin|al→tl	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	b	y	5	6	cheeeb→cheeey|ctheeb→ctheey|oleeeb→oleeey|oteeeb→oteeey|sheeeb→sheeey	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	c	i	3	6	chockhedy→choikhedy|chockhy→choikhy|chocphy→choiphy|chocthy→choithy|shocfhy→shoifhy	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	c	k	0	6	c→k|char→khar|chey→khey|cl→kl|co→ko	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	c	l	1	6	dc→dl|dcar→dlar|oc→ol|ockaiin→olkaiin|ockey→olkey	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	c	o	3	6	checkedy→cheokedy|qokchey→qokohey|qokchor→qokohor|qokcy→qokoy|sheckeey→sheokeey	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	c	s	5	6	choldchy→choldshy|olkeechy→olkeeshy|qokalchedy→qokalshedy|qokeechy→qokeeshy|sheekchy→sheekshy	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	c	y	1	6	dc→dy|dcky→dyky|hc→hy|oc→oy|octy→oyty	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	d	m	2	6	dod→dom|kod→kom|lod→lom|rod→rom|tad→tam	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	d	m	5	6	chekad→chekam|okchod→okchom|okeeod→okeeom|otalod→otalom|otchod→otchom	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	d	x	0	6	d→x|dar→xar|doiin→xoiin|dol→xol|doltedy→xoltedy	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	e	f	0	6	e→f|ear→far|echedy→fchedy|eol→fol|eold→fold	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	e	l	4	6	cheoekeey→cheolkeey|cheoetey→cheoltey|okeeey→okeely|olshey→olshly|sheeey→sheely	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	f	o	1	6	lfar→loar|lfchedy→lochedy|qfol→qool|sf→so|yf→yo	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	f	o	2	6	chfaiin→choaiin|chfol→chool|olfaiin→oloaiin|olfy→oloy|qofchey→qoochey	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	f	r	2	6	aify→airy|qof→qor|qofaiin→qoraiin|qofain→qorain|qofchedy→qorchedy	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	g	l	5	6	cheeog→cheeol|chokag→chokal|chotag→chotal|dsheog→dsheol|qokeog→qokeol	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	g	m	2	6	aig→aim|dag→dam|dago→damo|kag→kam|lag→lam	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	g	m	3	6	arag→aram|chag→cham|chog→chom|daig→daim|okag→okam	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	g	n	3	6	arag→aran|chag→chan|chog→chon|daig→dain|okag→okan	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	g	r	5	6	cheeog→cheeor|chokag→chokar|chotag→chotar|dsheog→dsheor|oldaig→oldair	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	g	y	2	6	aig→aiy|alg→aly|amg→amy|arg→ary|dag→day	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	h	k	2	6	chho→chko|dchy→dcky|ochaiin→ockaiin|oches→ockes|ochey→ockey	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	h	o	2	6	chhty→choty|cth→cto|cthdy→ctody|cths→ctos|opheey→opoeey	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	h	p	0	6	h→p|haiin→paiin|har→par|hody→pody|hol→pol	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	i	m	3	6	daii→daim|daiig→daimg|okai→okam|opai→opam|otai→otam	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	i	m	4	6	ainai→ainam|darai→daram|kaiii→kaiim|okaii→okaim|olkai→olkam	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	i	n	4	6	daiiidy→daiindy|daiiils→daiinls|kaiii→kaiin|loiii→loiin|okaii→okain	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	k	y	3	6	chek→chey|chekl→cheyl|chekor→cheyor|chok→choy|shek→shey	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	l	x	0	6	l→x|lar→xar|ldar→xdar|loiin→xoiin|lol→xol	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	m	n	2	6	aim→ain|dam→dan|iim→iin|kam→kan|sam→san	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	m	s	1	6	am→as|amy→asy|dm→ds|lm→ls|om→os	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	m	y	5	6	okchom→okchoy|okeeom→okeeoy|otaram→otaray|qokaim→qokaiy|qokeom→qokeoy	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	o	p	3	6	cheo→chep|cheoaiin→chepaiin|cheoar→chepar|cheoy→chepy|sheo→shep	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	o	r	3	6	cheo→cher|cheoy→chery|lcho→lchr|pchooiin→pchroiin|sheo→sher	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	p	r	2	6	chp→chr|chpy→chry|qop→qor|qopaiin→qoraiin|qopar→qorar	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	p	s	4	6	cheop→cheos|cheopaiin→cheosaiin|cheopy→cheosy|cholp→chols|sheep→shees	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	p	x	0	6	p→x|par→xar|pdar→xdar|poiin→xoiin|pol→xol	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	r	t	4	6	cheor→cheot|cheoraiin→cheotaiin|cheorol→cheotol|cheory→cheoty|daiiry→daiity	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	r	y	6	6	chodalr→chodaly|dcheeor→dcheeoy|oeeeodr→oeeeody|polchor→polchoy|qokeeor→qokeeoy	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	x	y	0	6	x→y|xar→yar|xdar→ydar|xoiin→yoiin|xol→yol	observed edit-distance-1 relation; not a morphological claim
DELETION	n		1	5	an→a|anl→al|in→i|on→o|onaiin→oaiin	observed edit-distance-1 relation; not a morphological claim
DELETION	p		5	5	chealy→chealpy|okchop→okcho|opchey→opchepy|otolopaiin→otoloaiin|tshody→tshodpy	observed edit-distance-1 relation; not a morphological claim
DELETION	x		1	5	dxar→dar|hx→h|lxor→lor|ox→o|oxar→oar	observed edit-distance-1 relation; not a morphological claim
DELETION	x		2	5	arxor→aror|chxar→char|hox→ho|shx→sh|shxam→sham	observed edit-distance-1 relation; not a morphological claim
INSERTION		n	1	5	a→an|al→anl|i→in|o→on|oaiin→onaiin	observed edit-distance-1 relation; not a morphological claim
INSERTION		p	5	5	chealpy→chealy|okcho→okchop|opchepy→opchey|otoloaiin→otolopaiin|tshodpy→tshody	observed edit-distance-1 relation; not a morphological claim
INSERTION		x	1	5	dar→dxar|h→hx|lor→lxor|o→ox|oar→oxar	observed edit-distance-1 relation; not a morphological claim
INSERTION		x	2	5	aror→arxor|char→chxar|ho→hox|sh→shx|sham→shxam	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	0	1	1	5	200→210|201→211|203→213|204→214|206→216	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	0	4	1	5	200→240|201→241|203→243|204→244|206→246	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	0	8	2	5	130→138|140→148|170→178|180→188|200→208	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	1	8	2	5	131→138|161→168|171→178|181→188|201→208	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	2	7	2	5	132→137|162→167|172→177|182→187|192→197	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	3	7	2	5	133→137|163→167|183→187|193→197|203→207	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	3	9	2	5	133→139|153→159|163→169|183→189|193→199	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	4	6	1	5	145→165|146→166|147→167|148→168|149→169	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	4	8	2	5	134→138|164→168|174→178|184→188|204→208	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	4	9	1	5	140→190|145→195|146→196|147→197|149→199	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	5	8	2	5	135→138|145→148|165→168|175→178|185→188	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	8	9	2	5	138→139|148→149|168→169|178→179|188→189	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	a	d	5	5	chekea→cheked|ofcheay→ofchedy|okeedal→okeeddl|oteeoal→oteeodl|qokcha→qokchd	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	a	i	3	5	olkair→olkiir|qokair→qokiir|qotar→qotir|shoain→shoiin|ytoaiin→ytoiiin	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	a	i	4	5	charain→chariin|otarain→otariin|polkain→polkiin|qokoaiin→qokoiiin|sheeal→sheeil	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	a	k	0	5	a→k|acheody→kcheody|aiin→kiin|al→kl|ay→ky	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	a	s	3	5	chea→ches|ckha→ckhs|lchal→lchsl|okea→okes|shea→shes	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	b	s	5	5	cheeeb→cheees|ctheeb→cthees|oleeeb→oleees|oteeeb→oteees|sheeeb→sheees	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	c	e	1	5	hc→he|kcy→key|ockaiin→oekaiin|ockey→oekey|tco→teo	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	c	r	0	5	c→r|ckal→rkal|cky→rky|cl→rl|co→ro	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	c	t	0	5	c→t|chy→thy|cl→tl|co→to|coy→toy	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	d	i	1	5	od→oi|oda→oia|odees→oiees|odr→oir|ods→ois	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	d	m	1	5	adam→amam|dd→dm|ld→lm|od→om|ody→omy	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	d	y	7	5	chckheed→chckheey|checkhed→checkhey|chepched→chepchey|chockhed→chockhey|qotolchd→qotolchy	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	e	h	6	5	checthey→checthhy|cheockey→cheockhy|chocthey→chocthhy|shockhey→shockhhy|shocthey→shocthhy	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	e	i	2	5	cheo→chio|eees→eeis|qoekeey→qoikeey|qoeol→qoiol|ykeeol→ykieol	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	e	o	6	5	chekchey→chekchoy|chocthedy→chocthody|chotchedy→chotchody|qokcheedy→qokcheody|qopcheedy→qopcheody	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	e	r	3	5	chee→cher|cheey→chery|cthees→cthres|odaeiin→odariin|shee→sher	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	e	x	0	5	e→x|ear→xar|eoiin→xoiin|eol→xol|eor→xor	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	g	l	1	5	ag→al|dg→dl|dgr→dlr|og→ol|ogom→olom	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	g	r	1	5	ag→ar|dg→dr|lg→lr|og→or|ogom→orom	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	h	y	1	5	sh→sy|shdy→sydy|shkaiin→sykaiin|shkar→sykar|shty→syty	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	h	y	2	5	chhty→chyty|ckh→cky|cth→cty|kch→kcy|osh→osy	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	i	o	0	5	i→o|iiin→oiin|iin→oin|iir→oir|in→on	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	i	s	3	5	daii→dais|daiiin→daisin|okai→okas|otai→otas|saii→sais	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	i	t	1	5	aiy→aty|oi→ot|oia→ota|oidal→otdal|oiees→otees	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	k	x	0	5	k→x|kar→xar|koiin→xoiin|kol→xol|kor→xor	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	l	n	2	5	ail→ain|dal→dan|kal→kan|sal→san|tal→tan	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	l	n	6	5	chckhal→chckhan|oteedal→oteedan|qokchol→qokchon|teeodal→teeodan|ykeedal→ykeedan	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	l	x	1	5	alor→axor|dlar→dxar|llor→lxor|ol→ox|olar→oxar	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	m	o	4	5	daiim→daiio|okaim→okaio|okalm→okalo|okeem→okeeo|olkam→olkao	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	m	s	6	5	chekaim→chekais|qockhom→qockhos|qokalom→qokalos|qokeeam→qokeeas|qopcham→qopchas	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	m	t	1	5	amam→atam|amy→aty|lm→lt|om→ot|omy→oty	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	n	s	5	5	chedan→chedas|chetan→chetas|odaiin→odaiis|qoaiin→qoaiis|ykchon→ykchos	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	n	s	6	5	chekain→chekais|chotain→chotais|keedain→keedais|oteeeon→oteeeos|qokchon→qokchos	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	n	y	2	5	ain→aiy|dan→day|een→eey|san→say|tan→tay	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	p	t	5	5	cheocphey→cheocthey|cheocphy→cheocthy|opchepy→opchety|sheocphy→sheocthy|ychocphy→ychocthy	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	p	y	1	5	dpchedy→dychedy|dpchy→dychy|ep→ey|op→oy|opchey→oychey	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	r	x	0	5	r→x|rar→xar|roiin→xoiin|rol→xol|ror→xor	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	s	x	0	5	s→x|sar→xar|soiin→xoiin|sol→xol|sor→xor	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	t	x	0	5	t→x|tar→xar|toiin→xoiin|tol→xol|tor→xor	observed edit-distance-1 relation; not a morphological claim
DELETION	a		6	4	chodalr→chodalar|qokeeor→qokeeoar|qopcher→qopchear|tcheodl→tcheodal	observed edit-distance-1 relation; not a morphological claim
DELETION	m		6	4	chckhom→chckho|cheetam→cheeta|cheodam→cheoda|olcheom→olcheo	observed edit-distance-1 relation; not a morphological claim
DELETION	r		7	4	cheokeor→cheokeo|chokchor→chokcho|qokcheor→qokcheo|shotchor→shotcho	observed edit-distance-1 relation; not a morphological claim
INSERTION		a	6	4	chodalar→chodalr|qokeeoar→qokeeor|qopchear→qopcher|tcheodal→tcheodl	observed edit-distance-1 relation; not a morphological claim
INSERTION		m	6	4	chckho→chckhom|cheeta→cheetam|cheoda→cheodam|olcheo→olcheom	observed edit-distance-1 relation; not a morphological claim
INSERTION		r	7	4	cheokeo→cheokeor|chokcho→chokchor|qokcheo→qokcheor|shotcho→shotchor	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	1	3	1	4	211→231|212→232|213→233|214→234	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	2	8	2	4	132→138|162→168|172→178|182→188	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	3	8	2	4	133→138|163→168|183→188|203→208	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	4	5	1	4	140→150|145→155|146→156|149→159	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	a	c	1	4	da→dc|daar→dcar|daky→dcky|ha→hc	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	a	k	3	4	chea→chek|cheal→chekl|polaiin→polkiin|shea→shek	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	a	l	3	4	alda→aldl|oroa→orol|qoka→qokl|qota→qotl	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	a	t	2	4	chal→chtl|qoair→qotir|qoal→qotl|shachy→shtchy	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	b	s	4	4	cheeb→chees|oeeeb→oeees|soeeb→soees|ykeeb→ykees	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	b	y	4	4	cheeb→cheey|oeeeb→oeeey|soeeb→soeey|ykeeb→ykeey	observed edit-distance-1 relation; not a morphological claim
